scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
5,10,308136,11,11.88867336,12.26844318
5,11,303720,12,5.54744424,5.480264451
5,12,303722,13,5.54744424,5.487629391
5,13,303723,14,5.27372212,5.282269842
5,14,303724,15,5.091240707,5.097897326
5,15,303725,16,5.319342473,5.27507288
5,16,303726,17,15.49268127,13.6946767
5,17,303727,18,5.319342473,5.295832321
5,18,303728,19,5.13686106,5.12770103
5,19,303729,20,5.27372212,5.26677434
5,20,303730,21,5.821166361,5.875247775
5,21,303731,22,5.866786714,5.855455741
5,22,303732,23,5.593064594,5.58381876
5,23,303733,24,5.54744424,5.662447669
5,24,303734,25,5.638684947,5.521558905
5,25,303735,26,6.322990248,6.291069689
5,26,303736,27,7.326638021,7.165294242
5,27,303737,28,6.870434488,6.48137639
5,28,303738,29,5.501823887,5.531831093
5,29,304663,30,6.186129187,6.058247479
5,30,304664,31,10.10947958,10.90046063
5,31,306600,32,5.729925654,5.735677843
5,32,306676,33,5.501823887,5.506983239
5,33,306677,34,5.364962827,5.422626989
5,34,306474,35,5.593064594,5.653420274
5,35,305263,36,5.958027421,6.006909712
5,36,305264,37,5.729925654,5.690928938
5,37,305265,38,6.733573428,6.534950939
5,38,306476,39,8.284665443,8.330014803
5,39,307114,40,7.144156608,7.210845087
5,40,306622,41,7.554739788,7.779797255
5,41,305271,42,6.414230954,6.223859123
5,42,305272,43,6.414230954,6.310476475
5,43,306623,44,5.501823887,5.409344115
5,44,307121,45,5.091240707,5.102309955
5,45,305155,46,6.003647774,6.032172998
5,46,305156,47,6.094888481,6.225277541
5,47,305157,48,7.96532297,7.440095023
5,48,305159,49,7.691600848,8.30172278
5,49,308186,50,7.782841555,7.825572019
5,50,305284,51,7.919702614,7.77056564
5,51,308187,52,5.6843053,5.644154115
5,52,305286,53,8.330285796,8.141919737
6,0,901736,1,10.83940523,10.60133421
6,1,303710,2,6.003647774,5.996808187
6,2,303711,3,5.319342473,5.312071762
6,3,303712,4,7.144156608,7.340331695
6,4,303713,5,13.43976537,13.44895146
6,5,303714,6,6.140508834,6.070092107
6,6,306974,7,5.456203534,5.373685053
6,7,306322,8,6.277369894,6.335325978
6,8,303717,9,5.775546007,5.711717882
6,9,303718,10,5.13686106,5.126974927
6,10,308136,11,11.88867336,12.51566229
6,11,303720,12,5.54744424,5.453894902
6,12,303722,13,5.54744424,5.57684515
6,13,303723,14,5.27372212,5.277578461
6,14,303724,15,5.091240707,5.088296257
6,15,303725,16,5.319342473,5.352546902
6,16,303726,17,15.49268127,14.54760902
6,17,303727,18,5.319342473,5.308930772
6,18,303728,19,5.13686106,5.128068176
6,19,303729,20,5.27372212,5.289899204
6,20,303730,21,5.821166361,5.76508034
6,21,303731,22,5.866786714,5.999962005
6,22,303732,23,5.593064594,5.594438775
6,23,303733,24,5.54744424,5.530766574
6,24,303734,25,5.638684947,5.734927571
6,25,303735,26,6.322990248,6.312071094
6,26,303736,27,7.326638021,7.592431361
6,27,303737,28,6.870434488,7.158273585
6,28,303738,29,5.501823887,5.473769918
6,29,304663,30,6.186129187,6.083301516
6,30,304664,31,10.10947958,10.55945683
6,31,306600,32,5.729925654,5.625869815
6,32,306676,33,5.501823887,5.446461334
6,33,306677,34,5.364962827,5.374003918
6,34,306474,35,5.593064594,5.616604899
6,35,305263,36,5.958027421,6.011237346
6,36,305264,37,5.729925654,5.832184897
6,37,305265,38,6.733573428,6.631404278
6,38,306476,39,8.284665443,8.981052528
6,39,307114,40,7.144156608,7.058962702
6,40,306622,41,7.554739788,7.162846838
6,41,305271,42,6.414230954,6.658893377
6,42,305272,43,6.414230954,6.302700915
6,43,306623,44,5.501823887,5.562835166
6,44,307121,45,5.091240707,5.095173389
6,45,305155,46,6.003647774,5.771101094
6,46,305156,47,6.094888481,6.034307472
6,47,305157,48,7.96532297,7.589999137
6,48,305159,49,7.691600848,7.789718696
6,49,308186,50,7.782841555,7.965242151
6,50,305284,51,7.919702614,8.40880024
6,51,308187,52,5.6843053,5.816107609
6,52,305286,53,8.330285796,8.01967414
7,0,901736,1,10.83940523,11.40307942
7,1,303710,2,6.003647774,5.904657562
7,2,303711,3,5.319342473,5.33367031
7,3,303712,4,7.144156608,6.997868412
7,4,303713,5,13.43976537,13.20336132
7,5,303714,6,6.140508834,6.012362153
7,6,306974,7,5.456203534,5.42425129
7,7,306322,8,6.277369894,6.560802223
7,8,303717,9,5.775546007,5.621506871
7,9,303718,10,5.13686106,5.13284571
7,10,308136,11,11.88867336,11.47493158
7,11,303720,12,5.54744424,5.654355351
7,12,303722,13,5.54744424,5.651163369
7,13,303723,14,5.27372212,5.291726227
7,14,303724,15,5.091240707,5.078278845
7,15,303725,16,5.319342473,5.247222843
7,16,303726,17,15.49268127,13.78783768
7,17,303727,18,5.319342473,5.331660432
7,18,303728,19,5.13686106,5.111382014
7,19,303729,20,5.27372212,5.261649755
7,20,303730,21,5.821166361,5.836561432
7,21,303731,22,5.866786714,5.91859761
7,22,303732,23,5.593064594,5.553200955
7,23,303733,24,5.54744424,5.56030734
7,24,303734,25,5.638684947,5.567547642
7,25,303735,26,6.322990248,6.560351653
7,26,303736,27,7.326638021,7.345475157
7,27,303737,28,6.870434488,6.781675468
7,28,303738,29,5.501823887,5.497476206
7,29,304663,30,6.186129187,6.060308394
7,30,304664,31,10.10947958,9.66526012
7,31,306600,32,5.729925654,5.758751352
7,32,306676,33,5.501823887,5.527339372
7,33,306677,34,5.364962827,5.346885669
7,34,306474,35,5.593064594,5.66253254
7,35,305263,36,5.958027421,5.823516814
7,36,305264,37,5.729925654,5.596192079
7,37,305265,38,6.733573428,6.596502211
7,38,306476,39,8.284665443,8.721761134
7,39,307114,40,7.144156608,7.097896972
7,40,306622,41,7.554739788,7.767745656
7,41,305271,42,6.414230954,6.520608689
7,42,305272,43,6.414230954,6.370246807
7,43,306623,44,5.501823887,5.509963254
7,44,307121,45,5.091240707,5.095507196
7,45,305155,46,6.003647774,6.097854557
7,46,305156,47,6.094888481,6.123005025
7,47,305157,48,7.96532297,7.937737969
7,48,305159,49,7.691600848,7.725494677
7,49,308186,50,7.782841555,8.229023682
7,50,305284,51,7.919702614,7.691071159
7,51,308187,52,5.6843053,5.753896498
7,52,305286,53,8.330285796,9.017857391
8,0,901736,1,10.83940523,9.904592744
8,1,303710,2,6.003647774,5.934628943
8,2,303711,3,5.319342473,5.348181771
8,3,303712,4,7.144156608,7.046704931
8,4,303713,5,13.43976537,13.78001182
8,5,303714,6,6.140508834,6.137308312
8,6,306974,7,5.456203534,5.457847253
8,7,306322,8,6.277369894,6.216544419
8,8,303717,9,5.775546007,5.665219668
8,9,303718,10,5.13686106,5.122947117
8,10,308136,11,11.88867336,12.84416967
8,11,303720,12,5.54744424,5.59359359
8,12,303722,13,5.54744424,5.613482388
8,13,303723,14,5.27372212,5.293176419
8,14,303724,15,5.091240707,5.083407603
8,15,303725,16,5.319342473,5.281352217
8,16,303726,17,15.49268127,14.99230028
8,17,303727,18,5.319342473,5.275108593
8,18,303728,19,5.13686106,5.12359283
8,19,303729,20,5.27372212,5.290434128
8,20,303730,21,5.821166361,5.800539889
8,21,303731,22,5.866786714,5.954357757
8,22,303732,23,5.593064594,5.476337955
8,23,303733,24,5.54744424,5.548424888
8,24,303734,25,5.638684947,5.644478714
8,25,303735,26,6.322990248,6.371863251
8,26,303736,27,7.326638021,6.974661101
8,27,303737,28,6.870434488,6.714483401
8,28,303738,29,5.501823887,5.576102036
8,29,304663,30,6.186129187,6.13123386
8,30,304664,31,10.10947958,10.26484351
8,31,306600,32,5.729925654,5.764128414
8,32,306676,33,5.501823887,5.466431102
8,33,306677,34,5.364962827,5.384054728
8,34,306474,35,5.593064594,5.48126202
8,35,305263,36,5.958027421,5.969866751
8,36,305264,37,5.729925654,5.763658484
8,37,305265,38,6.733573428,6.608367741
8,38,306476,39,8.284665443,7.898734766
8,39,307114,40,7.144156608,7.199400739
8,40,306622,41,7.554739788,7.372308828
8,41,305271,42,6.414230954,6.174171432
8,42,305272,43,6.414230954,6.66268419
8,43,306623,44,5.501823887,5.443023174
8,44,307121,45,5.091240707,5.086060647
8,45,305155,46,6.003647774,5.913604846
8,46,305156,47,6.094888481,6.20788688
8,47,305157,48,7.96532297,7.732587107
8,48,305159,49,7.691600848,7.805629764
8,49,308186,50,7.782841555,7.668165811
8,50,305284,51,7.919702614,7.762912861
8,51,308187,52,5.6843053,5.700648772
8,52,305286,53,8.330285796,7.934065701
