scenario_number,stop_index,stop_id,stop_sequence,stop_name,baseline_ridership,scenario_ridership
4,47,305157,48,MANHATTAN AV/CALYER ST,103.4938525,101.270238
4,48,305159,49,MANHATTAN AV/GREENPOINT AV,93.94057377,80.3251528
4,49,308186,50,MANHATTAN AV/INDIA ST,97.125,104.3996159
4,50,305284,51,MANHATTAN AV/EAGLE ST,101.9016393,105.5637571
4,51,308187,52,MANHATTAN AV/CLAY ST,23.88319672,22.79029847
4,52,305286,53,BOX ST/MANHATTAN AV,116.2315574,115.2949663
5,0,901736,1,LINCOLN RD/OCEAN AV,203.8032787,221.6073155
5,1,303710,2,EMPIRE BLVD/WASHINGTON AV,35.02868852,39.03929861
5,2,303711,3,EMPIRE BLVD/BEDFORD AV,11.1454918,10.82104393
5,3,303712,4,EMPIRE BLVD/ROGERS AV,74.83401639,74.74137382
5,4,303713,5,EMPIRE BLVD/NOSTRAND AV,294.5594262,276.2159086
5,5,303714,6,EMPIRE BLVD/NEW YORK AV,39.80532787,37.57002448
5,6,306974,7,EMPIRE BLVD/BROOKLYN AV,15.92213115,17.73065167
5,7,306322,8,EMPIRE BLVD/LAMONT CT,44.58196721,38.77487161
5,8,303717,9,KINGSTON AV/MONTGOMERY ST,27.06762295,23.99701049
5,9,303718,10,KINGSTON AV/CARROLL ST,4.776639344,3.823905166
5,10,308136,11,KINGSTON AV/UNION ST,240.4241803,253.6786697
5,11,303720,12,KINGSTON AV/SAINT JOHNS PL,19.10655738,16.76189029
5,12,303722,13,KINGSTON AV/PROSPECT PL,19.10655738,17.01893683
5,13,303723,14,KINGSTON AV/BERGEN ST,9.553278689,9.851605932
5,14,303724,15,KINGSTON AV/PACIFIC ST,3.18442623,3.416751417
5,15,303725,16,KINGSTON AV/ATLANTIC AV,11.1454918,9.600422054
5,16,303726,17,KINGSTON AV/FULTON ST,366.2090164,303.4561825
5,17,303727,18,THROOP AV/FULTON ST,11.1454918,10.32495512
5,18,303728,19,THROOP AV/MACDONOUGH ST,4.776639344,4.4569417
5,19,303729,20,THROOP AV/HALSEY ST,9.553278689,9.310791586
5,20,303730,21,THROOP AV/JEFFERSON AV,28.65983607,30.54735186
5,21,303731,22,THROOP AV/MADISON ST,30.25204918,29.85658264
5,22,303732,23,THROOP AV/GATES AV,20.69877049,20.37607819
5,23,303733,24,THROOP AV/GREENE AV,19.10655738,23.12033531
5,24,303734,25,THROOP AV/LAFAYETTE AV,22.29098361,18.20312356
5,25,303735,26,THROOP AV/DE KALB AV,46.17418033,45.06010892
5,26,303736,27,THROOP AV/HART ST,81.20286885,75.57174889
5,27,303737,28,THROOP AV/MYRTLE AV,65.2807377,51.70207466
5,28,303738,29,THROOP AV/PARK AV,17.51434426,18.56163706
5,29,304663,30,FLUSHING AV/THROOP AV,41.39754098,36.93429336
5,30,304664,31,FLUSHING AV/BROADWAY,178.3278689,205.934196
5,31,306600,32,GRAHAM AV/COOK ST,25.47540984,25.67616914
5,32,306676,33,GRAHAM AV/SEIGEL ST,17.51434426,17.69441274
5,33,306677,34,GRAHAM AV/JOHNSON AV,12.73770492,14.75026354
